"id","pet_name","latin_name","city","colour","participant_age","participant_gender","participant_siblings","head_height","head_lateral","head_front","snout_length","snout_height","snout_width","ear_length","nose_width","nose_height","eye_diameter","head_body_length","chest_length","chest_height","front_leg_length","hind_leg_length","manipulate","fur_thickness","fur_sofness","touch","smell","smiling","posture","stranger_comfort","owner_comfort"
"835","clem","Nunursus clemus","le_mans","8",12,"1",1,19.49,19.78,17.06,7.21,12.73,9.44,5.87,7.59,4.6,1.55,43.42,20.21,18.01,19.82,22.72,5,4,7,5,5,"-1","2",1,1
"836","Fluffy","Nunursus fluflu","besancon","9",35,"2",3,7.41,8.26,6.32,1.63,3.49,3.71,1.57,0.56,0.72,0.87,14.34,6.78,7.03,4.23,5.33,2,2,3,2,2,"0","2",NA,0.75
"837","Sushi","Nunursus ursus japonicus","besancon","7",40,"1",1,10.31,9.33,8.74,3.3,4.58,4.8,1.82,1.55,1.22,0.92,18.32,9.45,8.95,4.2,4.3,5,3,7,5,5,"0","1",0.5,0.75
"840","Nina","Nunursus ninus","besancon","7",7,"1",1,9.28,10.4,8.87,3.35,4.12,4.85,2.13,1.82,1.27,0.53,20.28,8.35,7.83,5.75,8.18,2,3,4,5,1,"0","1",0.25,NA
"841","Nounours","Nunursus altus","besancon","8",12,"2",0,22.57,24.86,18.87,6.1,8.77,9.63,6.5,2.27,1.8,2.85,47.77,16.49,20.65,18.35,25.46,3,3,4,3,3,"1","2",0.75,NA
"842","Marius","Nunursus marius","besancon","15",63,"1",1,9.24,10.17,6.47,1.38,3.13,5.26,0.39,2.19,1.51,0.62,18.24,6.64,7.55,5.95,6.49,5,2,7,5,4,"0","1",0.5,NA
"843","ours watson","Nunursus ursus watson","le_mans","9",44,"1",3,10.42,10.29,9.32,3.86,5.4,6.48,3.47,0.87,1,0.91,22.18,9.57,10.81,7.86,10.95,5,3,5,5,4,"0","2",1,NA
"845","doudou","Nunursus doudous","le_mans","15",6,"1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,5,"0","2",NA,1
"846","doux","Nunursus dulce","le_mans","5",9,"1",1,10.86,14,9.18,5.58,5.23,6.71,1.79,2.38,2.53,0.8,26.07,9.58,9.8,11.85,10.24,5,4,4,4,4,"1","1",0.625,NA
"848","Malo","Nunursus malonunus","le_mans","9",17,"1",2,24.55,24.59,20.92,7.09,6.84,11.02,5.11,4.3,2.62,2.14,54.32,15.21,18.83,20.28,32.03,5,4,4,4,3,"-1","2",0.625,0.75
"849","Edgar","Nunursus edgarus siluus","le_mans","15",53,"1",2,19,23.19,18.22,5.56,7.07,10.42,5.85,2.75,2.37,1.84,51,16.65,25.16,19.23,19.44,5,2,7,5,5,"0","2",0.75,NA
"853","Paddington","Nunursus paddingtonus","le_mans","9",10,"1",0,5.82,6.6,5.28,1.38,2.58,2.97,0.24,1.19,0.84,0.52,16.91,6.29,6.83,6.34,6.54,5,3,6,5,5,"0","2",NA,0.625
"854","Kellogs","Nunursus kellogsus","le_mans","9",13,"2",4,12.75,15.51,12.08,3.6,5.2,7.55,3.19,1.79,1.49,1.32,26.43,13.08,17.49,8.29,9.2,4,3,4,4,3,"0","1",NA,0.75
"856","Vievieu","Nunursus vievus","le_mans","7",10,"1",4,22.63,23.36,21.92,6.79,7.9,13.02,7.44,3.74,3.23,2.28,45.91,13.08,11.37,9.48,13.34,2,2,2,1,1,"0","1",0.25,NA
"857","calinours","Nunursus roseo","le_mans","14",14,"1",4,8.27,9.26,8.48,3.49,3.82,4.12,1.8,0.93,1.4,0.62,21.24,6.15,9.77,8.95,8.84,4,1,4,4,2,"0","2",0.125,0.375
