"Day","Activity","obs","age","subj_id"
2,0,84,7,"17103"
2,0,85,7,"17103"
1,0,1,15,"9680"
1,0,2,15,"9680"
1,0,3,15,"9680"
1,0,4,15,"9680"
1,0,5,15,"9680"
1,0,6,15,"9680"
1,0,7,15,"9680"
1,0,8,15,"9680"
1,0,9,15,"9680"
1,0,10,15,"9680"
1,0,11,15,"9680"
1,0,12,15,"9680"
1,0,13,15,"9680"
1,0,14,15,"9680"
1,0,15,15,"9680"
1,0,16,15,"9680"
1,0,17,15,"9680"
1,0,18,15,"9680"
1,0,19,15,"9680"
1,0,20,15,"9680"
1,0,21,15,"9680"
1,0,22,15,"9680"
1,0,23,15,"9680"
1,0,24,15,"9680"
1,0,25,15,"9680"
1,0,26,15,"9680"
1,0,27,15,"9680"
1,0,28,15,"9680"
1,0,29,15,"9680"
1,0,30,15,"9680"
1,0,31,15,"9680"
1,0,32,15,"9680"
1,0,33,15,"9680"
1,0,34,15,"9680"
1,0,35,15,"9680"
1,0,36,15,"9680"
1,0,37,15,"9680"
1,0,38,15,"9680"
1,0,39,15,"9680"
1,0,40,15,"9680"
1,0,41,15,"9680"
1,0,42,15,"9680"
1,0,43,15,"9680"
1,11,44,15,"9680"
1,0,45,15,"9680"
1,0,46,15,"9680"
1,0,47,15,"9680"
1,0,48,15,"9680"
1,0,49,15,"9680"
1,0,50,15,"9680"
1,0,51,15,"9680"
1,0,52,15,"9680"
1,0,53,15,"9680"
1,0,54,15,"9680"
1,0,55,15,"9680"
1,0,56,15,"9680"
1,0,57,15,"9680"
1,0,58,15,"9680"
1,0,59,15,"9680"
1,0,60,15,"9680"
1,0,61,15,"9680"
1,0,62,15,"9680"
1,0,63,15,"9680"
1,0,64,15,"9680"
1,0,65,15,"9680"
1,0,66,15,"9680"
1,0,67,15,"9680"
1,0,68,15,"9680"
1,0,69,15,"9680"
1,0,70,15,"9680"
1,0,71,15,"9680"
1,0,72,15,"9680"
1,0,73,15,"9680"
1,0,74,15,"9680"
1,0,75,15,"9680"
1,0,76,15,"9680"
1,0,77,15,"9680"
1,0,78,15,"9680"
1,0,79,15,"9680"
1,0,80,15,"9680"
1,0,81,15,"9680"
1,0,82,15,"9680"
1,0,83,15,"9680"
1,0,84,15,"9680"
1,0,85,15,"9680"
1,0,86,15,"9680"
1,0,87,15,"9680"
1,0,88,15,"9680"
1,0,89,15,"9680"
1,0,90,15,"9680"
1,0,91,15,"9680"
1,0,92,15,"9680"
1,0,93,15,"9680"
1,0,94,15,"9680"
1,0,95,15,"9680"
1,0,96,15,"9680"
1,0,97,15,"9680"
1,0,98,15,"9680"
1,0,99,15,"9680"
1,0,100,15,"9680"
1,0,101,15,"9680"
1,0,102,15,"9680"
1,0,103,15,"9680"
1,0,104,15,"9680"
1,0,105,15,"9680"
1,0,106,15,"9680"
1,0,107,15,"9680"
1,0,108,15,"9680"
1,0,109,15,"9680"
1,0,110,15,"9680"
1,0,111,15,"9680"
1,0,112,15,"9680"
1,0,113,15,"9680"
