CountYear,RoostCountStatusID,TotalCount,SpeciesID,FirstYear,RoostID
2017,Bats were present and counts were carried out,2,Pipistrellus pygmaeus,1980,28838
2017,Bats were present and counts were carried out,1,Pipistrellus pygmaeus,1980,28838
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,1980,28838
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,1980,28838
2017,Bats were present and counts were carried out,71,Pipistrellus pygmaeus,1999,28915
2017,Bats were present and counts were carried out,17,Pipistrellus pygmaeus,1999,28915
2017,Bats were present and counts were carried out,16,Pipistrellus pygmaeus,2004,29047
2017,Bats were present and counts were carried out,154,Pipistrellus pygmaeus,2004,29047
2017,Bats were present and counts were carried out,8,Rhinolophus hipposideros,1994,30485
2017,Bats were present and counts were carried out,28,Rhinolophus hipposideros,1994,30485
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,NA,30692
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,NA,30692
2017,Bats were present and counts were carried out,58,Rhinolophus hipposideros,NA,30730
2017,Bats were present and counts were carried out,528,Rhinolophus hipposideros,1993,30840
2017,Bats were present and counts were carried out,543,Rhinolophus hipposideros,1993,30840
2017,Bats were present and counts were carried out,210,Rhinolophus hipposideros,1999,32567
2017,Bats were present and counts were carried out,245,Rhinolophus hipposideros,1999,32567
2017,Bats were present and counts were carried out,4,Pipistrellus pygmaeus,2001,34043
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,2001,34043
2017,Bats were present and counts were carried out,400,Pipistrellus pygmaeus,1997,34216
2017,Bats were present and counts were carried out,265,Pipistrellus pygmaeus,1997,34216
2017,Bats were present and counts were carried out,57,Rhinolophus hipposideros,2010,34527
2017,Bats were present and counts were carried out,73,Rhinolophus hipposideros,2010,34527
2017,Bats were present and counts were carried out,60,Rhinolophus hipposideros,2010,34527
2017,Bats were present and counts were carried out,1,Pipistrellus pygmaeus,2008,34564
2017,Bats were present and counts were carried out,0,Pipistrellus pygmaeus,2008,34564
2017,Bats were present and counts were carried out,680,Pipistrellus pygmaeus,NA,35075
2017,Bats were present and counts were carried out,341,Rhinolophus hipposideros,1994,35641
2017,Bats were present and counts were carried out,25,Rhinolophus hipposideros,1993,36012
2017,Bats were present and counts were carried out,18,Rhinolophus hipposideros,1993,36012
